Type	Exodiab_ID	Tissue	Charge	xylose	valine	uridine	uric acid	urea	tyrosine	tryptophan	tocopherol gamma	tocopherol beta NIST	tocopherol alpha	threonine	threonic acid	taurine	sucrose	succinic acid	stearic acid	shikimic acid	serine	pyrophosphate	"pyrazine 2,5-dihydroxy  NIST"	putrescine	pseudo uridine	proline	phosphoric acid	phosphoethanolamine	phenylalanine	pelargonic acid	palmitoleic acid	palmitic acid butyl ester NIST	palmitic acid	oxalic acid	ornithine	oleic acid	N-methylalanine	myristic acid	monopalmitin-1-glyceride	methionine	mannitol	maltose	lysine	linoleic acid	lignoceric acid	levoglucosan	leucine	lauric acid	lathosterol NIST	lactic acid	kynurenine	isothreonic acid	isonicotinic acid	isoleucine	inulobiose 2	inositol myo-	indole-3-lactate	indole-3-acetate	histidine	heptadecanoic acid	glycolic acid	glycine	glycerol-beta-phosphate	glycerol-alpha-phosphate	glycerol	glyceric acid	glutamine	glutamic acid	glucuronic acid	glucose	gluconic acid	fumaric acid	fructose	ethanolamine	erythritol	cystine	cysteine-glycine	cysteine	creatinine	conduritol-beta-epoxide	citrulline	citric acid	cholesterol	benzylalcohol	benzoic acid	behenic acid	aspartic acid	asparagine	arginine + ornithine	arachidonic acid	arachidic acid	alpha mannosylglycerate	alpha ketoglutaric acid	alanine	adipic acid	aconitic acid	4-hydroxyproline	3-hydroxybutanoic acid 	"3,6-anhydrogalactose"	2-phenylpropanol NIST	2-oxogluconic acid NIST	2-ketoisocaproic acid	2-hydroxyvaleric acid	2-hydroxybutanoic acid	2-deoxyerythritol NIST	2-aminoadipic acid	1-monostearin	1-monoolein	1-hexadecanol
Meta	Type	plasma	None	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite	Metabolite
Meta	PROBLEMATIC	plasma	None	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Meta	MSMS_CONFIRMED	plasma	None	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Meta	IN_BLANK	plasma	None	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Meta	MS_PROBLEMATIC	plasma	None	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Meta	AZm_SUPERCLASS	plasma	None																																																																																																										
Meta	AZm_CLASS	plasma	None																																																																																																										
Meta	AZm_NAME_FIXED	plasma	None	xylose	valine	uridine	uric acid	urea	tyrosine	tryptophan	tocopherol gamma	tocopherol beta NIST	tocopherol alpha	threonine	threonic acid	taurine	sucrose	succinic acid	stearic acid	shikimic acid	serine	pyrophosphate	"pyrazine 2,5-dihydroxy  NIST"	putrescine	pseudo uridine	proline	phosphoric acid	phosphoethanolamine	phenylalanine	pelargonic acid	palmitoleic acid	palmitic acid butyl ester NIST	palmitic acid	oxalic acid	ornithine	oleic acid	N-methylalanine	myristic acid	monopalmitin-1-glyceride	methionine	mannitol	maltose	lysine	linoleic acid	lignoceric acid	levoglucosan	leucine	lauric acid	lathosterol NIST	lactic acid	kynurenine	isothreonic acid	isonicotinic acid	isoleucine	inulobiose 2	inositol myo-	indole-3-lactate	indole-3-acetate	histidine	heptadecanoic acid	glycolic acid	glycine	glycerol-beta-phosphate	glycerol-alpha-phosphate	glycerol	glyceric acid	glutamine	glutamic acid	glucuronic acid	glucose	gluconic acid	fumaric acid	fructose	ethanolamine	erythritol	cystine	cysteine-glycine	cysteine	creatinine	conduritol-beta-epoxide	citrulline	citric acid	cholesterol	benzylalcohol	benzoic acid	behenic acid	aspartic acid	asparagine	arginine + ornithine	arachidonic acid	arachidic acid	alpha mannosylglycerate	alpha ketoglutaric acid	alanine	adipic acid	aconitic acid	4-hydroxyproline	3-hydroxybutanoic acid 	"3,6-anhydrogalactose"	2-phenylpropanol NIST	2-oxogluconic acid NIST	2-ketoisocaproic acid	2-hydroxyvaleric acid	2-hydroxybutanoic acid	2-deoxyerythritol NIST	2-aminoadipic acid	1-monostearin	1-monoolein	1-hexadecanol
Sample	383	plasma	None	4956	609022	1153	109989	663698	138358	151130	10592	664	29783	75236	3367	5779	564	3619	887025	2002	115324	12538	741	1951	3489	188930	1345570	951	57541	56480	3088	1246	133613	2378972	8756	45798	54229	6537	4127	15764	24818	3577	158517	14366	4915	1177	267344	9311	536	289492	585	6214	1877	183259	1898	21296	1335	1320	66113	19566	4985	144856	501	7523	115056	18703	427845	50761	2586	1227718	5186	2436	392774	383703	3349	35220	1595	39475	31912	241	5738	102175	695359	14323	28796	42774	8528	20365	58660	11679	50062	72302	1557	403485	2480	452	8338	118595	3157	36108	1111	8397	5567	153532	7432	544	2529	28051	1324
Sample	360	plasma	None	4925	340080	832	117281	569848	181405	128476	7324	912	11066	79931	2102	3678	1016	6086	819253	1519	103758	7926	719	1778	4688	142379	1280358	1807	46816	53293	6068	720	80436	3312600	5053	8347	35280	5369	1705	13991	17474	3641	138098	3151	3486	3120	149971	11033	647	304819	603	5222	1002	193274	1347	23357	2198	2356	53771	15079	6679	283016	480	10030	94926	15148	434370	31735	1451	1435819	4605	2025	465333	446341	8570	27455	949	27548	16554	378	6923	110620	572670	13527	26538	10453	4425	20615	62849	12924	12711	122110	1268	155931	2558	522	9198	17109	2745	34292	349	5361	6842	136311	8820	449	1957	2300	1681
Sample	257	plasma	None	5338	357663	617	120497	659779	217624	203393	5827	1073	12992	116866	3790	5676	551	3356	701233	8159	123073	14686	624	2693	6075	167400	1282996	2845	76377	79222	12923	1416	93949	1748379	9236	21017	32592	7144	2522	22211	2285	1449	200128	7071	3771	1538	156139	10717	724	332726	1070	5070	1887	148279	2086	31941	3032	6755	60934	16491	8308	293464	579	9910	145275	18639	526432	61440	1821	1745880	8519	2687	529658	546797	4052	41804	921	18977	47025	775	11594	181752	654687	16961	28733	6623	9263	29536	137167	20525	15755	141107	1523	348940	2606	913	8634	17032	3217	41325	388	7285	5205	153017	10221	631	2836	2303	1296
